Historical Data,,,,,,,,
From 2021-08-31 to 2023-08-30,,,,,,,,
NL0010273215,,,,,,,,
Date,Open,High,Low,Last,Close,Number of Shares,Number of Trades,Print table
9/2/2022,576.7,591,575.3,588.8,588.8,812010,37861,
10/2/2022,598,600.6,571,584.1,584.1,829813,50090,
11/2/2022,570,579.9,568,569.5,569.5,733099,35273,
14/2/2022,551.2,561,540.7,559.7,559.7,1002425,56553,
15/2/2022,553.8,576.8,550.6,572.9,572.9,780307,45264,
16/2/2022,580.2,584.6,566.9,573.9,573.9,580041,29511,
17/2/2022,584.2,586.8,574.4,578.2,578.2,666455,39218,
18/2/2022,577.6,584,566,570.4,570.4,928135,33375,
21/2/2022,576.5,579,544.9,550.8,550.8,684419,37994,
22/2/2022,530.6,574.9,523,564.5,564.5,1152820,59763,
23/2/2022,568,581.4,562.1,564.3,564.3,859472,47054,
24/2/2022,527.1,562.2,525,558.2,558.2,1780520,108705,
25/2/2022,578.9,590,568.4,589.1,589.1,1240807,66116,
28/2/2022,571,598.9,566.8,598.9,598.9,1451883,57326,
1/3/2022,596.8,597.6,577.2,577.2,577.2,1086434,54167,
2/3/2022,574.5,592.7,570,583.2,583.2,944662,48442,
3/3/2022,582,592.6,571,573.3,573.3,800591,45362,
4/3/2022,565.3,575,533.6,533.6,533.6,1389278,61803,
7/3/2022,518,568.1,514.4,540.6,540.6,1399868,83149,
8/3/2022,524,555.1,513.7,517,517,1523567,68252,
9/3/2022,540.3,557.1,526.6,557.1,557.1,1425054,65389,
10/3/2022,557.8,560.9,537.7,545.4,545.4,991442,51781,
11/3/2022,543.2,562.4,533.4,542.8,542.8,989894,53102,
14/3/2022,551,560.3,531.8,534.5,534.5,1069393,63232,
15/3/2022,529.1,544.2,518,540.4,540.4,1049666,52787,
16/3/2022,556.7,582.4,555.9,578.9,578.9,1204194,58906,
17/3/2022,590.4,591.2,577,584.7,584.7,988610,49497,
18/3/2022,592.4,609.9,584.6,609.9,609.9,2306861,56348,
21/3/2022,608,618.8,604.1,612.7,612.7,856735,46137,
22/3/2022,615,632.7,612.1,627.2,627.2,989112,46198,
23/3/2022,630,632.5,604.8,613.9,613.9,856499,49465,
24/3/2022,612.1,618.3,603.7,615.7,615.7,746591,37866,
25/3/2022,621,630.9,610.1,620.2,620.2,839554,40422,
28/3/2022,619.1,628.8,616.6,622.7,622.7,675469,24810,
29/3/2022,632,642,625.6,633,633,920569,42372,
30/3/2022,634.7,634.7,618.8,622.2,622.2,726653,36722,
31/3/2022,620.2,626.3,610,610,610,847822,31278,
1/4/2022,606,613.8,602.3,606.7,606.7,515731,29040,
4/4/2022,607.4,619.2,601.5,617.4,617.4,561907,28129,
5/4/2022,619.4,627,595.5,599.2,599.2,707436,34297,
6/4/2022,592.3,597.1,565.8,571.8,571.8,856559,48864,
7/4/2022,577.7,584.1,565.4,567.4,567.4,770305,38633,
8/4/2022,582,584.5,565,569.3,569.3,651492,33475,
11/4/2022,559.4,565.4,550.6,552.3,552.3,666548,36263,
12/4/2022,547.8,571.9,542.6,560.4,560.4,837550,38654,
13/4/2022,553.1,567.3,550.6,566.1,566.1,559514,29317,
14/4/2022,574,574.2,557.3,558.7,558.7,1107438,36383,
15/4/2022,,,,,,None,None,
18/4/2022,,,,,,None,None,
19/4/2022,563.5,565.2,546.2,561.6,561.6,695287,31290,
20/4/2022,570,606.6,560.7,591.4,591.4,1035414,53795,
21/4/2022,585.2,599.4,582.9,584,584,715969,33999,
22/4/2022,575,580.8,565,571.2,571.2,763338,41258,
25/4/2022,560.2,570,545.2,547.7,547.7,818988,43617,
26/4/2022,559.4,560.9,526.5,529.4,529.4,759155,36660,
27/4/2022,531.4,537.2,515.7,528.7,528.7,751086,40666,
28/4/2022,540,553.4,537.7,548.7,548.7,752040,37237,
29/4/2022,560.1,562.4,544.7,548,548,773161,35070,
2/5/2022,543.7,543.7,522.8,535.8,535.8,753467,34379,
3/5/2022,539,546.3,532,542.3,542.3,706815,31070,
4/5/2022,547.7,549.2,535.4,535.4,535.4,514898,23755,
5/5/2022,560.3,560.3,535.1,537.2,537.2,644643,33164,
6/5/2022,532.1,533.8,515.5,524.4,524.4,894384,40874,
9/5/2022,505,517.4,486.75,486.75,486.75,1131951,55210,
10/5/2022,498.25,502.4,486.3,488.75,488.75,936325,51089,
11/5/2022,500.1,514.7,489.7,514.1,514.1,988198,49716,
12/5/2022,492.35,508.1,489.25,501.1,501.1,955355,50366,
13/5/2022,513,529.2,506.3,525.2,525.2,709116,35631,
16/5/2022,523,526.4,506.4,512.6,512.6,613806,28443,
17/5/2022,519.1,534.6,517.1,528.6,528.6,594819,27118,
18/5/2022,531,532.7,512.7,514.9,514.9,593971,24064,
19/5/2022,506,511,493,502.7,502.7,887597,44646,
20/5/2022,495.5,515.4,495.5,500.7,500.7,1247708,36124,
23/5/2022,512.7,521,506.4,521,521,799694,28792,
24/5/2022,512.4,524.6,508.2,509.2,509.2,772338,30793,
25/5/2022,512.5,515.2,499.5,507.2,507.2,641963,25821,
26/5/2022,506,519.5,500.7,517,517,631778,23173,
27/5/2022,524,541.3,520.9,541.3,541.3,640682,27076,
30/5/2022,552.1,565.3,550.5,556.1,556.1,690852,31221,
31/5/2022,547,552.2,535.2,536,536,1840118,32140,
1/6/2022,537,540.9,528.1,530.4,530.4,563225,22542,
2/6/2022,529.5,537.8,525.5,535.1,535.1,385611,19245,
3/6/2022,538.3,539,523.2,525.5,525.5,467688,22770,
6/6/2022,532.5,544.6,531.9,538.5,538.5,460530,16392,
7/6/2022,532,536.6,527.6,532.1,532.1,503262,21003,
8/6/2022,538.4,540,532.1,535.9,535.9,540951,19747,
9/6/2022,531,535,520.1,520.7,520.7,689113,25691,
10/6/2022,514.1,515.9,494.2,495.1,495.1,859138,35328,
13/6/2022,485,488,469,473.1,473.1,929728,37696,
14/6/2022,483.6,483.6,467.65,471.2,471.2,817608,35219,
15/6/2022,475.2,482.35,467.6,482.35,482.35,905668,33003,
16/6/2022,478.05,478.45,445.5,448.85,448.85,941646,41545,
17/6/2022,448.05,459.7,442.2,449.15,449.15,2692964,45700,
20/6/2022,451,457.25,446.45,457.25,457.25,402601,16433,
21/6/2022,462.15,471.7,459.45,469.75,469.75,676963,29827,
22/6/2022,460.65,469.25,453.3,465.2,465.2,661466,28047,
23/6/2022,455.6,467.35,451,460.4,460.4,849478,35370,
24/6/2022,466.4,488.3,463.4,484.85,484.85,761785,31065,
27/6/2022,486,497.5,478.15,483.7,483.7,702264,32590,
28/6/2022,488.95,490.1,471.3,472.85,472.85,630171,29142,
29/6/2022,460.8,470.8,459.75,465.2,465.2,658041,29302,
30/6/2022,455.55,457.4,445.05,455.85,455.85,946001,36065,
1/7/2022,437.2,446.75,428.15,431.25,431.25,1100911,52171,
4/7/2022,427.55,430.7,422.8,428.5,428.5,391635,20140,
5/7/2022,434.2,436.15,403.45,409,409,1150310,46124,
6/7/2022,415,429.35,414.5,421.5,421.5,935460,38668,
7/7/2022,435,442,429.75,440.8,440.8,745847,31450,
8/7/2022,441,446.15,433.55,446.15,446.15,603585,27160,
11/7/2022,436.9,448.1,433.6,438,438,558487,23210,
12/7/2022,432,441.9,423.85,434.7,434.7,849275,34792,
13/7/2022,435.8,446.65,425.85,441.75,441.75,760420,36314,
14/7/2022,444.3,447.5,436.05,443,443,668027,30811,
15/7/2022,452.95,465.95,449.7,465.4,465.4,1145670,36041,
18/7/2022,478.55,478.8,469.75,476.2,476.2,781236,36849,
19/7/2022,463.2,487.35,461.35,484.8,484.8,793818,32288,
20/7/2022,470,506,461.5,501.2,501.2,1467182,54932,
21/7/2022,499.95,527,497.55,527,527,1201119,56008,
22/7/2022,529.8,534.2,520.7,522.5,522.5,833344,38049,
25/7/2022,524,528.3,517.7,528.3,528.3,806642,31370,
26/7/2022,526,530.4,514.6,514.9,514.9,770415,38094,
27/7/2022,519,533.2,519,528.9,528.9,621143,26807,
28/7/2022,534,545.4,531,545.4,545.4,805394,33049,
29/7/2022,547.7,559.5,545.7,555.4,555.4,1018228,38924,
1/8/2022,558.2,567.5,550,565,565,635582,29391,
2/8/2022,560.4,562.5,544.7,552.7,552.7,642321,29119,
3/8/2022,557,572,554.4,570.6,570.6,775362,26799,
4/8/2022,571.7,576.6,565.7,576.2,576.2,661631,33618,
5/8/2022,576,580.5,558,559.4,559.4,701672,31505,
8/8/2022,568,576.5,557.8,560.6,560.6,628100,27093,
9/8/2022,562.2,565.5,527.2,530.4,530.4,972120,43264,
10/8/2022,520.1,547.1,519.2,544.1,544.1,724630,32199,
11/8/2022,552,554.8,539.4,548.8,548.8,696934,33975,
12/8/2022,547.8,557.2,541.2,553.2,553.2,651753,27232,
15/8/2022,553.2,561.8,550.9,560.2,560.2,467857,25036,
16/8/2022,562.9,565.9,548.8,557.5,557.5,572054,24842,
17/8/2022,557,559.9,542.9,543.9,543.9,461453,22412,
18/8/2022,545.1,558,542.5,557.2,557.2,491566,25788,
19/8/2022,551,559.6,544,545.1,545.1,1063298,34252,
22/8/2022,538.3,542.6,524.7,525.6,525.6,617234,25993,
23/8/2022,522,531.2,520.5,526.4,526.4,585899,25701,
24/8/2022,523.9,531.7,520.7,530.8,530.8,432770,18946,
25/8/2022,532,535.7,521.1,532.2,532.2,443804,22807,
26/8/2022,539,548.6,518.9,521.4,521.4,751148,33552,
29/8/2022,506.5,513.3,502.7,503.3,503.3,520516,27147,
30/8/2022,507.2,514.5,487.4,490.4,490.4,603294,32437,
31/8/2022,500,507,484.65,484.65,484.65,867958,38092,
1/9/2022,480,482.1,465.7,467,467,851029,38920,
2/9/2022,477.8,486.15,468.15,484.15,484.15,816512,42090,
5/9/2022,472,479.7,465.85,477.2,477.2,463183,21424,
6/9/2022,477.65,485.1,467.8,478.6,478.6,582449,30856,
7/9/2022,468.35,476.05,468.2,474.95,474.95,586081,34461,
8/9/2022,481.35,484.15,462.25,480,480,681892,30677,
9/9/2022,480.3,500.7,480.3,497.9,497.9,706672,32616,
12/9/2022,496.7,504.9,493.3,499.8,499.8,754799,32472,
13/9/2022,501,506.7,478.7,479.45,479.45,724345,35829,
14/9/2022,474,481.9,471.4,478.75,478.75,677907,30748,
15/9/2022,476.8,481.85,463.5,467.45,467.45,754116,29808,
16/9/2022,462.9,472.2,458.3,465,465,2643195,42778,
19/9/2022,462,472.15,456.35,467.1,467.1,538818,24718,
20/9/2022,469.95,470.6,456.8,465.6,465.6,666496,28090,
21/9/2022,458.05,473.85,456.6,471.75,471.75,480488,25306,
22/9/2022,457.6,465.95,447.2,447.25,447.25,750862,33194,
23/9/2022,445.25,447.65,435.95,442.15,442.15,766501,40230,
26/9/2022,448.85,458.45,445.55,447.2,447.2,844351,42598,
27/9/2022,453.9,460.9,449.8,449.8,449.8,916165,41168,
28/9/2022,439,451,434.3,449.7,449.7,954333,51008,
29/9/2022,446.35,447.1,430.3,431.9,431.9,845041,42015,
30/9/2022,435.4,438.55,422.5,433.6,433.6,1207343,50042,
3/10/2022,426.75,442.6,419.75,441.3,441.3,792264,41271,
4/10/2022,449.75,468.85,447.35,468.85,468.85,1130382,54446,
5/10/2022,464.45,471.35,460.25,466.5,466.5,611511,29451,
6/10/2022,475.75,481.95,467.2,476.5,476.5,717362,36816,
7/10/2022,466,469.55,445.7,447.25,447.25,871308,42493,
