price,number_of_reviews,rating,bedrooms
125,8,4.75,1
115,26,4.65,1
80,13,4.77,2
130,24,4.96,2
100,12,4.42,1
120,46,4.74,5
147,24,4.71,3
110,15,4.4,1
57,89,4.82,1
160,28,4.82,1
147,62,4.85,2
99,15,5,1
90,29,4.76,2
99,4,4.75,1
194,8,5,4
140,10,5,2
102,10,4.7,2
164,3,5,1
100,8,3.5,2
172,3,5,4
125,21,4.71,2
120,21,5,1
130,3,5,2
55,2,5,1
305,7,5,3
195,6,5,1
110,19,4.89,1
125,16,4.69,1
125,25,4.84,1
115,13,4.62,1
145,17,4.88,1
60,4,5,1
150,13,4.77,1
90,8,4.88,1
99,18,4.83,1
110,9,4.89,2
125,9,4.78,1
150,5,3.2,3
140,7,4.86,2
124,8,4.63,2
90,5,5,1
159,10,5,3
106,8,4.63,1
125,1,5,2
155,21,4.67,2
80,22,4.82,1
148,26,5,2
300,2,4,3
98,3,4.67,1
83,14,4.93,1
128,11,4.91,2
218,16,4.75,2
120,27,4.81,1
100,18,4.72,1
110,21,4.48,1
120,9,4.67,2
175,4,4.75,2
110,6,4.83,1
120,8,4.13,2
130,11,4.27,1
130,13,4.46,3
120,20,4.45,2
160,2,4.5,2
200,5,5,1
130,6,4.83,1
120,18,4.72,2
130,8,4.63,2
96,29,4.79,1
130,8,4.25,2
326,12,4.67,2
130,12,4.33,2
120,22,4.59,2
195,3,4.67,3
199,8,4.88,3
120,4,4.75,2
120,13,4.31,2
65,3,4.67,1
99,11,4.91,1
139,17,5,1
395,3,5,4
147,2,5,1
198,3,5,2
92,7,5,1
140,3,4.67,1
110,32,4.75,1
140,33,4.73,1
137,7,4.86,2
111,16,4.13,2
347,6,4.67,1
175,4,5,2
95,59,4.82,1
135,11,5,1
71,51,4.75,1
200,10,5,2
95,6,4.67,1
110,13,4.85,1
161,12,5,2
165,18,5,1
113,11,5,1
190,36,4.92,2
150,11,4.91,1
80,3,5,1
80,3,5,2
120,1,5,1
115,2,5,1
95,22,4.68,1
101,25,4.6,1
400,17,5,2
78,72,4.74,1
210,10,4.8,3
215,1,5,2
110,10,4.9,1
370,8,5,3
100,3,4.67,1
200,9,4.78,3
160,1,5,1
285,11,4.91,3
214,10,4.4,1
80,1,5,2
161,10,5,1
160,32,4.59,1
139,14,4.93,2
95,2,5,1
177,3,5,1
110,12,4.58,2
115,3,5,1
75,13,4.92,2
121,11,4.82,1
204,17,4.88,3
279,10,5,1
220,3,4,1
140,1,5,2
115,9,5,1
147,12,4.75,3
302,19,4.63,2
450,13,4.85,5
465,15,5,7
190,9,4.33,3
90,1,5,1
366,1,5,2
131,25,4.8,2
120,7,5,1
90,2,4,2
100,14,4.57,3
206,5,4.4,1
86,28,4.71,1
123,4,4.5,1
111,1,5,1
100,22,4.82,1
100,33,4.61,1
158,15,4.73,3
385,16,5,3
150,3,4.67,1
250,3,4.67,3
545,4,5,3
89,28,4.71,1
124,5,5,1
168,19,4.79,1
150,1,5,1
200,2,5,2
140,2,5,1
132,14,4.36,1
148,12,4.92,2
290,1,4,2
167,4,4.25,1
550,5,5,3
147,7,4,1
130,19,4.32,1
197,3,3,1
296,3,4,2
248,3,3,1
236,12,4.17,1
335,2,4.5,1
211,39,5,2
150,16,4.75,1
130,1,5,1
110,7,5,2
200,15,4.33,2
99,6,5,1
97,1,5,2
149,2,4.5,1
144,3,5,3
115,3,5,2
130,9,4.89,3
130,10,4.9,1
95,17,4.94,1
165,2,5,1
158,2,4.5,1
137,7,4.86,1
96,1,5,1
125,1,5,2
90,4,4.5,2
92,1,5,2
150,5,4.4,1
245,6,4.67,2
300,10,5,2
148,11,4.45,1
80,4,3.25,1
122,3,5,1
350,3,5,3
152,1,5,1
150,1,5,1
57,11,4.91,8
204,5,5,2
360,1,5,4
145,15,5,1
149,10,4.6,1
179,8,5,2
93,8,4.88,1
121,1,5,1
90,2,5,1
149,4,5,1
90,20,4.5,1
190,4,5,2
198,8,5,2
195,2,4.5,3
150,4,5,1
195,5,5,1
165,7,4.86,2
149,3,5,1
150,3,5,2
225,5,4.8,3
220,5,4.4,2
134,27,4.89,2
100,6,4.83,1
153,4,5,1
254,1,1,5
170,4,4.75,2
206,15,4.8,2
153,3,3.67,1
165,1,4,2
110,2,5,1
159,3,4.67,2
169,3,5,2
249,3,5,3
146,3,5,3
120,2,5,2
111,4,3.75,1
140,2,4.5,1
100,2,5,1
110,7,4.43,1
134,1,5,3
214,8,4.38,2
99,11,4.82,1
120,3,5,1
196,3,5,3
155,4,5,3
134,1,5,2
160,11,4.82,3
81,15,5,1
179,1,5,1
148,6,5,1
250,4,5,2
150,9,4.44,3
135,2,5,3
150,7,4.71,3
150,4,5,3
150,7,4.71,3
150,5,4.4,3
160,2,5,2
115,1,5,2
260,1,4,2
82,1,5,1
90,3,5,2
160,1,5,2
121,11,4.64,1
110,2,5,1
175,2,5,2
265,2,5,2
200,3,4.33,2
146,6,4.83,2
229,3,5,1
115,1,5,2
195,1,5,2
125,4,4.5,2
191,1,5,2
150,1,4,1
297,2,4.5,2
125,1,5,1
