condition,odometer,paint_color,price,year
good,114509,silver,6995,2008
good,132973,grey,6995,2009
good,183000,purple,3600,1999
good,212000,grey,3700,2007
like new,145500,white,5995,2007
good,251502,white,2500,1993
good,180000,"",2000,1994
good,200000,green,1000,1994
excellent,199000,custom,4400,2005
excellent,182000,blue,5500,2007
good,189700,white,1850,1996
excellent,140125,grey,6400,2007
excellent,107700,green,5500,2009
excellent,64780,silver,199,2015
new,146672,brown,3495,2006
good,165250,"",2900,1997
excellent,55652,custom,14000,2014
excellent,162756,grey,6995,2010
excellent,211579,green,3700,2004
excellent,140037,blue,6800,2007
excellent,118049,"",7400,2007
good,143660,"",6300,2007
excellent,122506,blue,4900,2002
excellent,118049,"",7400,2007
like new,59000,silver,9999,2012
excellent,202183,"",5900,2009
excellent,152044,green,2750,1998
excellent,205745,white,2400,1999
good,55292,grey,19900,2019
excellent,47343,red,21298,2018
good,139272,grey,6495,2007
good,55292,grey,19900,2019
good,89386,grey,11495,2014
good,55292,grey,19900,2019
excellent,186555,blue,5497,2005
good,55292,grey,19900,2019
good,153000,silver,3295,1997
like new,86211,"",12995,2016
excellent,148611,"",6995,2005
excellent,209000,black,3950,2003
excellent,85700,green,13500,2013
good,181839,custom,4995,2004
excellent,161397,"",8995,2012
good,82278,white,13995,2016
good,55292,grey,19900,2019
good,235000,white,3500,2002
excellent,273168,"",5995,2010
good,166000,black,7900,2014
excellent,42541,"",21995,2018
excellent,133301,"",11995,2012
excellent,135913,"",6995,2007
excellent,97000,"",14000,2014
excellent,169200,silver,3000,2000
like new,166663,red,5998,2007
good,166000,black,7900,2014
excellent,116000,"",9900,2014
good,173327,blue,2500,2000
good,55292,grey,19900,2019
good,55292,grey,19900,2019
good,55292,grey,19900,2019
good,55292,grey,19900,2019
excellent,69182,"",15999,2014
good,110000,"",3500,1999
like new,89715,grey,11995,2014
excellent,25863,grey,19999,2016
excellent,69182,"",15999,2014
excellent,133338,silver,6995,2007
good,82278,white,13995,2016
good,167000,green,5400,2011
excellent,96000,"",6500,2007
excellent,128033,black,7950,2006
excellent,48212,white,22000,2018
excellent,44376,white,21999,2018
good,82278,white,13995,2016
good,55292,grey,19900,2019
excellent,205745,white,2400,1999
excellent,116000,"",9900,2014
excellent,217172,"",4622,2007
excellent,59927,white,13480,2014
excellent,185000,silver,5450,2011
excellent,75788,grey,12980,2014
excellent,121619,black,9980,2011
good,146651,custom,6995,2005
excellent,44000,"",8000,2006
fair,220000,green,2500,2002
like new,64404,"",15988,2016
excellent,146672,brown,3495,2006
excellent,35879,"",16500,2015
excellent,152000,silver,8000,2010
excellent,19812,black,21000,2019
excellent,19812,black,21000,2019
excellent,46009,black,17900,2017
excellent,90130,grey,14500,2017
excellent,205354,red,5500,2007
like new,47000,blue,16000,2017
like new,36000,black,18950,2019
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
like new,109000,red,11900,2013
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,123257,"",4800,2000
excellent,68781,silver,8945,2008
good,182000,black,4800,2009
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
good,149257,black,8995,2011
good,211511,green,5995,2007
good,138804,white,8995,2011
good,81914,blue,10995,2011
good,138991,custom,6995,2004
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,68781,silver,8945,2008
excellent,99317,white,9800,2015
excellent,180000,"",6200,2007
new,143124,red,5500,2007
excellent,143000,red,5500,2007
good,151916,white,4995,2006
good,121654,custom,6750,2007
like new,86710,grey,14295,2017
excellent,99317,white,9800,2015
excellent,102000,"",8995,2009
excellent,214000,white,5800,2010
excellent,97299,blue,12400,2013
excellent,114093,grey,7900,2010
excellent,139000,white,8995,2012
good,190800,green,5750,2007
excellent,139000,white,8995,2012
excellent,139000,white,8995,2012
excellent,136000,green,6495,2009
excellent,205000,black,2650,2009
good,177600,red,4000,2006
excellent,81915,white,8995,2010
like new,200160,"",2500,2002
good,200000,green,2300,1998
excellent,190500,red,4951,2007
excellent,130000,green,8200,2011
excellent,168000,silver,3300,2003
excellent,190500,red,4951,2007
excellent,164000,red,4500,2007
excellent,126000,"",2100,1999
excellent,119000,"",3900,2006
excellent,121000,silver,2900,2001
good,167214,grey,4800,2007
good,243000,"",1850,2000
excellent,190500,red,4951,2007
excellent,132000,grey,6800,2008
good,53000,"",4200,2006
excellent,81915,white,8995,2010
good,125582,silver,6995,2007
good,129210,green,6995,2009
excellent,171000,"",3995,2002
like new,170000,black,5000,2007
excellent,183000,brown,3995,2008
excellent,156000,blue,3700,2002
good,150000,black,5500,2005
excellent,195000,silver,3995,2006
like new,130120,brown,3950,2004
like new,200014,brown,1450,1999
good,195000,"",2945,2004
good,181600,"",5900,2007
good,186000,silver,5995,2010
good,167569,blue,3995,2002
excellent,162000,grey,2995,2004
good,137977,green,5950,2009
excellent,139000,white,8995,2012
fair,169800,silver,3900,2003
like new,151425,blue,3995,2004
excellent,214453,silver,7995,2014
excellent,126813,"",9995,2013
good,211000,grey,4500,2005
good,116000,"",5600,2007
excellent,122410,silver,5998,2004
excellent,94925,grey,11760,2013
excellent,123445,black,7497,2011
excellent,116781,blue,7995,2009
good,211000,grey,3000,2007
good,163000,"",3499,2006
excellent,105795,red,11000,2012
excellent,116781,blue,7995,2009
excellent,84079,red,7188,2010
excellent,111205,black,6588,2008
excellent,168260,brown,5495,2005
excellent,85205,grey,12995,2015
good,139900,black,7400,2011
good,210000,white,2400,2005
excellent,41000,"",10499,2010
excellent,119179,green,6995,2007
good,147305,"",2999,2001
excellent,14600,grey,5600,2008
like new,200000,"",5500,2011
like new,69500,brown,4995,2001
excellent,110955,red,8799,2013
good,125000,blue,8500,2013
excellent,95000,grey,9200,2011
excellent,154601,brown,3500,2006
excellent,110955,red,8799,2013
like new,60308,grey,16995,2017
like new,86639,black,14995,2015
good,181000,"",2500,2002
excellent,79000,grey,13400,2014
excellent,123916,grey,2000,2010
good,230000,white,1400,1992
