rating,gpa,white,female,tech_skills,unpaid_intshp,top_intshp,second_intshp
5,3.02,1,0,0,1,0,1
5,3.79,0,1,0,1,0,1
6,3.65,1,1,0,1,0,1
1,3.13,0,0,0,0,0,1
1,3.2,1,1,0,1,0,1
3,3.87,1,1,0,1,0,1
1,3.65,0,0,0,0,0,1
5,3.19,1,1,0,0,0,1
9,3.73,0,0,0,0,0,1
8,3.52,0,1,0,1,0,1
8,3.83,0,0,0,0,0,1
5,3.82,0,1,0,0,0,1
5,3.42,1,1,0,0,0,1
4,3.58,1,1,1,1,0,1
4,3.2,1,1,0,1,0,1
3,3.4,1,1,0,1,1,0
5,3.9,1,1,1,1,1,0
8,3.12,1,0,0,1,1,0
2,3.46,1,1,0,1,1,0
8,3.22,0,0,0,1,1,0
2,3.9,0,1,1,1,1,0
1,3.06,1,1,0,1,1,0
10,3.79,0,1,1,1,1,0
7,3.88,1,0,1,1,1,1
4,3.92,1,1,1,0,1,1
2,3.64,1,1,0,1,1,1
2,3.24,1,1,0,1,1,1
1,3.46,1,1,0,0,1,1
8,3.51,1,1,0,0,1,1
6,3.4,0,1,1,0,1,1
8,3.49,0,0,1,0,1,1
1,3.44,0,0,0,0,1,1
9,3.02,1,1,0,0,1,1
9,3.61,1,1,0,1,0,0
1,3.93,1,1,1,1,0,0
7,3.87,1,0,1,1,0,0
5,3.58,1,1,0,1,0,0
9,3.92,0,0,0,1,0,0
6,3.74,1,0,0,1,0,0
6,3.23,1,1,0,1,0,0
5,3.12,0,0,0,1,0,0
9,3.46,1,1,1,1,0,0
6,3.65,1,1,0,1,0,0
6,3.88,0,1,0,1,0,0
7,3.65,0,0,1,1,0,0
9,3.31,1,0,0,1,0,0
6,3.76,1,0,1,1,0,0
4,3.06,1,0,1,1,0,0
5,3.29,0,1,1,1,0,0
6,3.08,1,0,0,1,0,1
4,3.8,1,1,0,0,0,1
8,3.94,0,1,0,0,0,1
7,3.85,1,0,0,1,0,1
9,3.89,1,0,0,1,0,1
6,3.72,0,1,0,0,0,1
8,3.42,1,1,0,0,0,1
3,3.02,1,1,0,1,0,1
7,3.32,1,0,0,1,0,1
4,3.5,0,0,0,0,0,1
8,3.29,0,1,0,0,0,1
7,3.81,1,1,0,0,0,1
7,3.58,1,1,0,1,0,1
7,3.16,1,1,0,0,0,1
9,3.66,1,0,0,1,0,1
7,3.72,1,1,1,1,0,1
7,3.01,1,1,0,0,0,1
8,3.63,0,1,1,1,0,1
4,3.91,0,1,0,1,0,1
5,3.41,1,0,0,1,0,1
8,3.62,1,0,1,1,0,1
2,3.49,0,1,0,1,0,1
3,3.44,1,0,0,0,0,1
10,3.92,1,0,0,0,0,1
2,3.63,1,1,0,0,0,1
5,3.33,1,0,1,1,0,1
4,3.12,1,1,1,1,0,1
10,3.99,0,1,0,1,1,0
8,3.82,0,1,0,1,1,0
8,3.34,1,0,0,1,1,0
8,3.95,1,0,1,1,1,0
5,3.3,1,1,1,1,1,0
6,3.58,1,1,0,1,1,0
9,3.59,0,0,0,1,1,0
5,3.98,0,1,1,1,1,0
6,3.11,0,1,0,1,1,0
4,3.2,0,0,0,1,1,0
6,3.45,0,1,0,1,1,0
6,3.07,0,1,0,1,1,0
6,3.39,1,0,1,1,1,0
7,3.01,1,0,0,1,1,0
3,3.35,1,1,0,1,1,0
2,3.56,1,0,1,1,1,0
7,3.62,0,0,0,1,1,0
1,3.13,1,1,0,1,1,0
7,3.9,0,0,0,1,1,0
3,3.39,0,1,0,1,1,1
7,3.61,1,1,1,0,1,1
7,3.79,1,1,1,0,1,1
8,3.69,0,0,1,1,1,1
9,3.88,1,1,0,1,1,1
8,3.95,0,0,0,1,1,1
