date,e5,e10,diesel
2017-02-13,1.40226866348789,1.3811142760477,1.19268796790725
2017-02-14,1.40159156648312,1.38057280133426,1.19110935336783
2017-02-15,1.40243800237536,1.38124856102013,1.19015018768485
2017-02-16,1.40271021312381,1.38158380791736,1.19071832037133
2017-02-17,1.40293696948881,1.38173405944811,1.18993313552949
2017-02-18,1.40496572133221,1.38386219167774,1.1916928938601
2017-02-19,1.40847359395985,1.38721480824942,1.19533681462073
2017-02-20,1.40071873875874,1.37976031592359,1.18868070372718
2017-02-21,1.39743418419581,1.37638773882487,1.18749318455207
2017-02-22,1.39895663285124,1.37642615606939,1.19038503828818
2017-02-23,1.39668920509785,1.37332535504386,1.19142907626555
2017-02-24,1.39667504077708,1.37301276625338,1.19286809853264
2017-02-25,1.39879784123398,1.3752744126747,1.19508701400204
2017-02-26,1.40401650982844,1.38022876508261,1.19871596104855
2017-02-27,1.39749732408809,1.37373851338764,1.19330093096374
2017-02-28,1.39534658642942,1.37142225397125,1.19271226663176
2017-03-01,1.38881627196249,1.3651247937074,1.18627881155234
2017-03-02,1.39045805471496,1.36663020208621,1.19155396005195
2017-03-03,1.38665048158523,1.36290103865501,1.19019861408213
2017-03-04,1.38851009502584,1.36473633838187,1.19291706325526
2017-03-05,1.39283881081904,1.36909382124785,1.19738439484452
2017-03-06,1.3806971942209,1.3569731448701,1.18766844461693
2017-03-07,1.37938403266126,1.3555219919453,1.18693691602663
2017-03-08,1.37814143404181,1.35451392638577,1.18579426773397
2017-03-09,1.37767763416644,1.35394131741248,1.1821913524192
2017-03-10,1.37241243058008,1.34860526540355,1.17600230638468
2017-03-11,1.38134391991797,1.35759688747188,1.18500740776031
2017-03-12,1.38010996284319,1.35622651628281,1.18309950913853
2017-03-13,1.37303057093068,1.34928677744003,1.17581999725446
2017-03-14,1.36513460650722,1.34135302135691,1.16769623254937
2017-03-15,1.35542435638773,1.33147079300983,1.15725714654009
2017-03-16,1.35413313698551,1.33033925061903,1.15726121722787
2017-03-17,1.35289948197132,1.32912493162432,1.15630316666578
2017-03-18,1.3556646523612,1.33174522641833,1.16069356025264
2017-03-19,1.36200358563614,1.33803057498151,1.16550846877538
2017-03-20,1.35390365465859,1.32996521123571,1.15726491350083
2017-03-21,1.35099147511529,1.32736849810962,1.1546502389199
2017-03-22,1.34941603688846,1.32578577161876,1.15243453712982
2017-03-23,1.34608481971763,1.32246261083992,1.1509511712603
2017-03-24,1.34929019156119,1.32564556119213,1.15010523048155
2017-03-25,1.35381321835551,1.330124710777,1.15439470367789
2017-03-26,1.36430358026951,1.34051418338161,1.16052763643496
2017-03-27,1.35313652348412,1.32955815725127,1.15118796153811
2017-03-28,1.35301445329501,1.32928699992474,1.14804684132633
2017-03-29,1.35551718505055,1.33189039358488,1.14848122805928
2017-03-30,1.36120392982741,1.33782028841119,1.15001308966329
2017-03-31,1.36855043249473,1.34499207664829,1.15537088375483
2017-04-01,1.37715920716313,1.35428984273958,1.16317475171004
2017-04-02,1.37842695646801,1.35470984107609,1.1625309471441
2017-04-03,1.37683118157255,1.35334324008094,1.16168495991499
2017-04-04,1.37760358294829,1.35424570519202,1.16249606449195
2017-04-05,1.3834556765361,1.35980478391727,1.16554222114136
2017-04-06,1.38615613213564,1.36273063256995,1.16827826393637
2017-04-07,1.38982767308888,1.3664080925878,1.17044679076414
2017-04-08,1.39614767780496,1.37258934829611,1.17511545166548
2017-04-09,1.40288566506692,1.37922217604859,1.18199460456338
2017-04-10,1.39789799550012,1.37447489119735,1.17826189888311
2017-04-11,1.40024943810542,1.37676526039103,1.18139362452783
2017-04-12,1.40320389077299,1.37956364517448,1.18582434285994
2017-04-13,1.40500099900795,1.38148208166418,1.18729933942947
2017-04-14,1.41134369585653,1.38777014053911,1.19295202814604
2017-04-15,1.41113778292186,1.38764419956021,1.19351394746702
2017-04-16,1.41422770426923,1.39079296836755,1.19666023703395
2017-04-17,1.41378392231881,1.39043968707037,1.19423572471468
