"DayOfWeek","Date","Price","Open","High","Low","Change"
"Fri","04-11-2022","3.6735","3.4135","3.695","3.409","+7.52%"
"Thu","03-11-2022","3.4165","3.423","3.4505","3.3675","-1.1%"
"Wed","02-11-2022","3.4545","3.448","3.5015","3.42","-0.07%"
"Tue","01-11-2022","3.457","3.362","3.4835","3.361","+2.96%"
"Mon","31-10-2022","3.3575","3.409","3.428","3.348","-1.64%"
"Sun","30-10-2022","N/A","N/A","N/A","N/A",NA
"Sat","29-10-2022","N/A","N/A","N/A","N/A",NA
"Fri","28-10-2022","3.4135","3.5125","3.5125","3.403","-2.54%"
"Thu","27-10-2022","3.5025","3.518","3.5365","3.4735","-0.62%"
"Wed","26-10-2022","3.5245","3.391","3.5325","3.371","+4.14%"
"Tue","25-10-2022","3.3845","3.416","3.425","3.351","-0.95%"
"Mon","24-10-2022","3.417","3.47","3.4855","3.403","-1.14%"
"Sun","23-10-2022","N/A","N/A","N/A","N/A",NA
"Sat","22-10-2022","N/A","N/A","N/A","N/A",NA
"Fri","21-10-2022","3.4565","3.386","3.463","3.3365","+1.62%"
"Thu","20-10-2022","3.4015","3.3185","3.426","3.298","+2.73%"
"Wed","19-10-2022","3.311","3.3495","3.3665","3.301","-1.19%"
"Tue","18-10-2022","3.351","3.3985","3.4205","3.328","-1.47%"
"Mon","17-10-2022","3.401","3.394","3.45","3.375","-0.1%"
"Sun","16-10-2022","N/A","N/A","N/A","N/A",NA
"Sat","15-10-2022","N/A","N/A","N/A","N/A",NA
"Fri","14-10-2022","3.4045","3.443","3.48","3.384","-0.54%"
"Thu","13-10-2022","3.423","3.4095","3.4595","3.3375","+0.44%"
"Wed","12-10-2022","3.408","3.4075","3.4475","3.383","-1.09%"
"Tue","11-10-2022","3.4455","3.415","3.456","3.3685","+1%"
"Mon","10-10-2022","3.4115","3.3615","3.455","3.356","+1.28%"
"Sun","09-10-2022","N/A","N/A","N/A","N/A",NA
"Sat","08-10-2022","N/A","N/A","N/A","N/A",NA
"Fri","07-10-2022","3.3685","3.4205","3.4325","3.356","-1.76%"
"Thu","06-10-2022","3.429","3.485","3.568","3.414","-1.55%"
"Wed","05-10-2022","3.483","3.478","3.5315","3.4285","+0.36%"
"Tue","04-10-2022","3.4705","3.4015","3.511","3.3865","+2.33%"
"Mon","03-10-2022","3.3915","3.3765","3.404","3.3355","-0.07%"
"Sun","02-10-2022","N/A","N/A","N/A","N/A",NA
"Sat","01-10-2022","N/A","N/A","N/A","N/A",NA
"Fri","30-09-2022","3.394","3.4135","3.455","3.372","-0.26%"
"Thu","29-09-2022","3.403","3.369","3.419","3.297","+1.67%"
"Wed","28-09-2022","3.347","3.2845","3.378","3.237","+2.18%"
"Tue","27-09-2022","3.2755","3.2865","3.3425","3.261","-0.3%"
"Mon","26-09-2022","3.2855","3.3435","3.3565","3.269","-1.54%"
"Sun","25-09-2022","N/A","N/A","N/A","N/A",NA
"Sat","24-09-2022","N/A","N/A","N/A","N/A",NA
"Fri","23-09-2022","3.337","3.4555","3.462","3.3225","-3.6%"
"Thu","22-09-2022","3.4615","3.431","3.51","3.4135","+0.09%"
"Wed","21-09-2022","3.4585","3.49","3.506","3.396","-1.06%"
"Tue","20-09-2022","3.4955","3.522","3.538","3.476","-0.26%"
"Mon","19-09-2022","3.5045","3.538","3.5435","3.4665","-0.01%"
"Sun","18-09-2022","N/A","N/A","N/A","N/A",NA
"Sat","17-09-2022","N/A","N/A","N/A","N/A",NA
"Fri","16-09-2022","3.505","3.453","3.5295","3.4195","+0.72%"
"Thu","15-09-2022","3.48","3.509","3.5445","3.4575","-0.95%"
"Wed","14-09-2022","3.5135","3.524","3.5495","3.4965","-0.97%"
"Tue","13-09-2022","3.548","3.6075","3.681","3.5155","-1.53%"
"Mon","12-09-2022","3.603","3.5565","3.615","3.526","+1.17%"
"Sun","11-09-2022","N/A","N/A","N/A","N/A",NA
"Sat","10-09-2022","N/A","N/A","N/A","N/A",NA
"Fri","09-09-2022","3.5615","3.5485","3.618","3.53","+1.12%"
"Thu","08-09-2022","3.522","3.444","3.55","3.439","+2.79%"
"Wed","07-09-2022","3.4265","3.453","3.461","3.402","-0.94%"
"Tue","06-09-2022","3.459","3.3955","3.4945","3.3615","+0.16%"
"Mon","05-09-2022","3.4535","3.3887","3.466","3.3857","+1.31%"
"Sun","04-09-2022","N/A","N/A","N/A","N/A",NA
"Sat","03-09-2022","N/A","N/A","N/A","N/A",NA
"Fri","02-09-2022","3.409","3.4075","3.4515","3.3805","+0.12%"
"Thu","01-09-2022","3.405","3.5155","3.5155","3.402","-3.18%"
"Wed","31-08-2022","3.517","3.559","3.601","3.45","-1.1%"
"Tue","30-08-2022","3.556","3.61","3.6365","3.5415","-1.6%"
"Mon","29-08-2022","3.614","3.7015","3.7015","3.5665","-2.28%"
"Sun","28-08-2022","N/A","N/A","N/A","N/A",NA
"Sat","27-08-2022","N/A","N/A","N/A","N/A",NA
"Fri","26-08-2022","3.6985","3.6935","3.779","3.685","+0.05%"
"Thu","25-08-2022","3.6965","3.6455","3.709","3.64","+1.25%"
"Wed","24-08-2022","3.651","3.678","3.6945","3.6285","-1.11%"
"Tue","23-08-2022","3.692","3.6615","3.721","3.64","+0.97%"
"Mon","22-08-2022","3.6565","3.672","3.7","3.6115","-0.54%"
"Sun","21-08-2022","N/A","N/A","N/A","N/A",NA
"Sat","20-08-2022","N/A","N/A","N/A","N/A",NA
"Fri","19-08-2022","3.6765","3.6535","3.6825","3.6185","+0.99%"
"Thu","18-08-2022","3.6405","3.5815","3.672","3.56","+1.22%"
"Wed","17-08-2022","3.5965","3.6355","3.6615","3.5875","-1.13%"
"Tue","16-08-2022","3.6375","3.6195","3.654","3.607","+0.1%"
"Mon","15-08-2022","3.634","3.679","3.6875","3.5715","-1.4%"
"Sun","14-08-2022","N/A","N/A","N/A","N/A",NA
"Sat","13-08-2022","N/A","N/A","N/A","N/A",NA
"Fri","12-08-2022","3.6855","3.7","3.727","3.66","-0.97%"
"Thu","11-08-2022","3.7215","3.6545","3.723","3.6545","+1.5%"
"Wed","10-08-2022","3.6665","3.6095","3.672","3.5735","+1.66%"
"Tue","09-08-2022","3.6065","3.611","3.644","3.5935","0%"
"Mon","08-08-2022","3.6065","3.56","3.64","3.559","+0.88%"
"Sun","07-08-2022","N/A","N/A","N/A","N/A",NA
"Sat","06-08-2022","N/A","N/A","N/A","N/A",NA
"Fri","05-08-2022","3.575","3.527","3.6025","3.51","+2.06%"
"Thu","04-08-2022","3.503","3.492","3.5275","3.444","+0.53%"
"Wed","03-08-2022","3.4845","3.489","3.539","3.467","-1.39%"
"Tue","02-08-2022","3.5335","3.5475","3.555","3.473","-0.72%"
"Mon","01-08-2022","3.559","3.567","3.5925","3.5305","-0.79%"
"Sun","31-07-2022","N/A","N/A","N/A","N/A",NA
"Sat","30-07-2022","N/A","N/A","N/A","N/A",NA
"Fri","29-07-2022","3.5875","3.5235","3.607","3.4895","+2.59%"
"Thu","28-07-2022","3.497","3.4935","3.5395","3.4735","+1.39%"
"Wed","27-07-2022","3.449","3.404","3.493","3.39","+1.25%"
"Tue","26-07-2022","3.4065","3.388","3.4775","3.388","+0.93%"
"Mon","25-07-2022","3.375","3.348","3.4035","3.334","+0.43%"
"Sun","24-07-2022","N/A","N/A","N/A","N/A",NA
"Sat","23-07-2022","N/A","N/A","N/A","N/A",NA
"Fri","22-07-2022","3.3605","3.318","3.4005","3.318","+1.51%"
"Thu","21-07-2022","3.3105","3.327","3.327","3.2685","-0.87%"
"Wed","20-07-2022","3.3395","3.351","3.38","3.316","+1.06%"
"Tue","19-07-2022","3.3045","3.318","3.318","3.266","-1.58%"
"Mon","18-07-2022","3.3575","3.259","3.3815","3.2265","+3.55%"
"Sun","17-07-2022","N/A","N/A","N/A","N/A",NA
"Sat","16-07-2022","N/A","N/A","N/A","N/A",NA
"Fri","15-07-2022","3.2425","3.2375","3.2705","3.1425","+0.92%"
"Thu","14-07-2022","3.213","3.317","3.32","3.1885","-3.4%"
"Wed","13-07-2022","3.326","3.25","3.342","3.2275","+1.06%"
"Tue","12-07-2022","3.291","3.4185","3.4495","3.258","-4.08%"
"Mon","11-07-2022","3.431","3.456","3.4925","3.399","-2.74%"
"Sun","10-07-2022","N/A","N/A","N/A","N/A",NA
"Sat","09-07-2022","N/A","N/A","N/A","N/A",NA
"Fri","08-07-2022","3.5275","3.54","3.5645","3.454","-1.38%"
"Thu","07-07-2022","3.577","3.41","3.5795","3.404","+4.82%"
"Wed","06-07-2022","3.4125","3.453","3.465","3.3085","-0.52%"
"Tue","05-07-2022","3.4305","3.598","3.6295","3.42","-4.28%"
"Mon","04-07-2022","3.584","3.6117","3.6172","3.5457","-0.99%"
"Sun","03-07-2022","N/A","N/A","N/A","N/A",NA
"Sat","02-07-2022","N/A","N/A","N/A","N/A",NA
"Fri","01-07-2022","3.62","3.7045","3.706","3.58","-2.94%"
"Thu","30-06-2022","3.7295","3.785","3.785","3.695","-1.82%"
"Wed","29-06-2022","3.7985","3.752","3.8325","3.73","+0.05%"
"Tue","28-06-2022","3.7965","3.8495","3.864","3.769","+0.37%"
"Mon","27-06-2022","3.7825","3.8015","3.822","3.7675","+0.45%"
"Sun","26-06-2022","N/A","N/A","N/A","N/A",NA
"Sat","25-06-2022","N/A","N/A","N/A","N/A",NA
"Fri","24-06-2022","3.7655","3.7815","3.8075","3.6855","-0.13%"
"Thu","23-06-2022","3.7705","3.904","3.926","3.762","-4.95%"
"Wed","22-06-2022","3.967","3.9925","3.9925","3.91","-2.31%"
"Tue","21-06-2022","4.061","4.0315","4.0915","3.989","+1.25%"
"Mon","20-06-2022","4.011","4.0385","4.0385","3.946","-0.84%"
"Sun","19-06-2022","N/A","N/A","N/A","N/A",NA
"Sat","18-06-2022","N/A","N/A","N/A","N/A",NA
"Fri","17-06-2022","4.045","4.1285","4.146","4.03","-2.32%"
"Thu","16-06-2022","4.141","4.153","4.153","4.0865","-1.29%"
"Wed","15-06-2022","4.195","4.215","4.225","4.15","+0.12%"
"Tue","14-06-2022","4.19","4.243","4.243","4.168","-1.05%"
"Mon","13-06-2022","4.2345","4.26","4.277","4.2055","-1.93%"
"Sun","12-06-2022","N/A","N/A","N/A","N/A",NA
"Sat","11-06-2022","N/A","N/A","N/A","N/A",NA
"Fri","10-06-2022","4.318","4.362","4.3925","4.302","-1.77%"
"Thu","09-06-2022","4.396","4.423","4.433","4.38","-1.41%"
"Wed","08-06-2022","4.459","4.4295","4.4595","4.4265","+0.13%"
"Tue","07-06-2022","4.453","4.423","4.455","4.3925","0%"
"Mon","06-06-2022","4.453","4.443","4.465","4.435","-0.98%"
"Sun","05-06-2022","N/A","N/A","N/A","N/A",NA
"Sat","04-06-2022","N/A","N/A","N/A","N/A",NA
"Fri","03-06-2022","4.497","4.5595","4.56","4.494","-1.6%"
"Thu","02-06-2022","4.57","4.334","4.5765","4.334","+5.12%"
"Wed","01-06-2022","4.3475","4.3155","4.3645","4.304","+0.67%"
"Tue","31-05-2022","4.3185","4.3555","4.36","4.308","-0.36%"
"Mon","30-05-2022","4.334","4.3225","4.3595","4.3098","+0.06%"
"Sun","29-05-2022","N/A","N/A","N/A","N/A",NA
"Sat","28-05-2022","N/A","N/A","N/A","N/A",NA
"Fri","27-05-2022","4.3315","4.3205","4.3465","4.3035","+1.11%"
"Thu","26-05-2022","4.284","4.268","4.2875","4.268","+0.12%"
"Wed","25-05-2022","4.279","4.292","4.293","4.2705","-0.98%"
"Tue","24-05-2022","4.3215","4.339","4.339","4.2985","-0.78%"
"Mon","23-05-2022","4.3555","4.334","4.3605","4.3325","+1.59%"
"Sun","22-05-2022","N/A","N/A","N/A","N/A",NA
"Sat","21-05-2022","N/A","N/A","N/A","N/A",NA
"Fri","20-05-2022","4.2875","4.318","4.319","4.2705","-0.06%"
"Thu","19-05-2022","4.29","4.2265","4.3","4.2235","+2.3%"
"Wed","18-05-2022","4.1935","4.221","4.23","4.172","-1.42%"
"Tue","17-05-2022","4.254","4.248","4.2905","4.228","+1.07%"
"Mon","16-05-2022","4.209","4.2","4.2155","4.172","+0.32%"
"Sun","15-05-2022","N/A","N/A","N/A","N/A",NA
"Sat","14-05-2022","N/A","N/A","N/A","N/A",NA
"Fri","13-05-2022","4.1955","4.145","4.1965","4.106","+1.67%"
"Thu","12-05-2022","4.1265","4.204","4.204","4.07","-2.53%"
"Wed","11-05-2022","4.2335","4.2545","4.274","4.2055","+1.17%"
"Tue","10-05-2022","4.1845","4.262","4.262","4.16","-0.89%"
"Mon","09-05-2022","4.222","4.26","4.26","4.1625","-1.67%"
"Sun","08-05-2022","N/A","N/A","N/A","N/A",NA
"Sat","07-05-2022","N/A","N/A","N/A","N/A",NA
"Fri","06-05-2022","4.2935","4.329","4.329","4.2795","-0.36%"
"Thu","05-05-2022","4.309","4.431","4.431","4.3","-1.01%"
"Wed","04-05-2022","4.353","4.3305","4.3905","4.29","+1.17%"
"Tue","03-05-2022","4.3025","4.3385","4.3425","4.2885","+0.43%"
"Mon","02-05-2022","4.284","4.4065","4.4065","4.2365","-3.18%"
"Sun","01-05-2022","N/A","N/A","N/A","N/A",NA
"Sat","30-04-2022","N/A","N/A","N/A","N/A",NA
"Fri","29-04-2022","4.4245","4.438","4.454","4.4","-0.7%"
"Thu","28-04-2022","4.4555","4.476","4.477","4.4115","-0.96%"
"Wed","27-04-2022","4.4985","4.5085","4.5085","4.4725","+0.21%"
"Tue","26-04-2022","4.489","4.517","4.517","4.45","-0.19%"
"Mon","25-04-2022","4.4975","4.55","4.557","4.48","-2.73%"
"Sun","24-04-2022","N/A","N/A","N/A","N/A",NA
"Sat","23-04-2022","N/A","N/A","N/A","N/A",NA
"Fri","22-04-2022","4.6235","4.675","4.683","4.6195","-2.33%"
"Thu","21-04-2022","4.734","4.7035","4.734","4.7035","+1.01%"
"Wed","20-04-2022","4.6865","4.68","4.687","4.673","-1.19%"
"Tue","19-04-2022","4.743","4.7245","4.7245","4.72","-1.59%"
"Mon","18-04-2022","4.8195","4.7165","4.8255","4.7165","+2.1%"
"Sun","17-04-2022","N/A","N/A","N/A","N/A",NA
"Sat","16-04-2022","N/A","N/A","N/A","N/A",NA
"Fri","15-04-2022","4.7205","4.7205","4.7205","4.7205","-0.34%"
"Thu","14-04-2022","4.7365","4.713","4.735","4.713","+0.1%"
"Wed","13-04-2022","4.732","4.702","4.71","4.702","-0.1%"
"Tue","12-04-2022","4.7365","4.684","4.746","4.684","+1.75%"
"Mon","11-04-2022","4.655","4.69","4.726","4.655","-1.72%"
"Sun","10-04-2022","N/A","N/A","N/A","N/A",NA
"Sat","09-04-2022","N/A","N/A","N/A","N/A",NA
"Fri","08-04-2022","4.7365","4.75","4.75","4.736","+0.69%"
"Thu","07-04-2022","4.704","4.7165","4.7185","4.7075","-0.62%"
"Wed","06-04-2022","4.7335","4.7405","4.781","4.7045","-1.15%"
"Tue","05-04-2022","4.7885","4.81","4.81","4.81","+0.46%"
"Mon","04-04-2022","4.7665","4.6985","4.759","4.6985","+1.88%"
"Sun","03-04-2022","N/A","N/A","N/A","N/A",NA
"Sat","02-04-2022","N/A","N/A","N/A","N/A",NA
"Fri","01-04-2022","4.6785","4.69","4.697","4.6865","-1.26%"
"Thu","31-03-2022","4.738","4.7335","4.734","4.7155","+0.11%"
"Wed","30-03-2022","4.733","4.79","4.79","4.717","+0.47%"
"Tue","29-03-2022","4.711","4.725","4.725","4.688","-0.02%"
"Mon","28-03-2022","4.712","4.696","4.739","4.642","+0.57%"
"Sun","27-03-2022","N/A","N/A","N/A","N/A",NA
"Sat","26-03-2022","N/A","N/A","N/A","N/A",NA
"Fri","25-03-2022","4.6855","4.689","4.689","4.685","-0.86%"
"Thu","24-03-2022","4.726","4.776","4.8175","4.7085","-0.49%"
"Wed","23-03-2022","4.7495","4.73","4.73","4.73","+1.47%"
"Tue","22-03-2022","4.6805","4.687","4.687","4.687","-0.17%"
"Mon","21-03-2022","4.6885","4.64","4.64","4.64","-1.08%"
"Sun","20-03-2022","N/A","N/A","N/A","N/A",NA
"Sat","19-03-2022","N/A","N/A","N/A","N/A",NA
"Fri","18-03-2022","4.7395","4.702","4.76","4.673","+0.8%"
"Thu","17-03-2022","4.702","4.621","4.717","4.6105","+2.21%"
"Wed","16-03-2022","4.6005","4.501","4.6405","4.4985","+1.94%"
"Tue","15-03-2022","4.513","4.5155","4.543","4.4685","-0.22%"
"Mon","14-03-2022","4.523","4.598","4.6155","4.496","-2.22%"
"Sun","13-03-2022","N/A","N/A","N/A","N/A",NA
"Sat","12-03-2022","N/A","N/A","N/A","N/A",NA
