"Date","Price","Open","High","Low","Vol","Change"
"06/27/22","0.9447","0.9474","0.9479","0.942","86.89K","-0.25%"
"06/26/22","N/A","N/A","N/A","N/A",NA,NA
"06/25/22","N/A","N/A","N/A","N/A",NA,NA
"06/24/22","0.9471","0.9499","0.9513","0.9459","88.51K","-0.28%"
"06/23/22","0.9498","0.9463","0.9539","0.945","111.48K","+0.37%"
"06/22/22","0.9463","0.9499","0.9553","0.9428","84.04K","-0.37%"
"06/21/22","0.9498","0.9514","0.9517","0.9449","83.47K","-0.15%"
"06/20/22","0.9512","0.9549","0.9549","0.9481","76.94K","-0.11%"
"06/19/22","N/A","N/A","N/A","N/A",NA,NA
"06/18/22","N/A","N/A","N/A","N/A",NA,NA
"06/17/22","0.9522","0.948","0.9574","0.947","85.56K","+0.47%"
"06/16/22","0.9477","0.9574","0.9633","0.9432","138.96K","-1.00%"
"06/15/22","0.9573","0.96","0.9654","0.9516","104.81K","-0.26%"
"06/14/22","0.9598","0.9606","0.9618","0.9537","86.87K","-0.09%"
"06/13/22","0.9607","0.9512","0.9615","0.9506","75.49K","+1.05%"
"06/12/22","N/A","N/A","N/A","N/A",NA,NA
"06/11/22","N/A","N/A","N/A","N/A",NA,NA
"06/10/22","0.9507","0.9419","0.9518","0.9395","70.02K","+0.94%"
"06/09/22","0.9418","0.9331","0.9424","0.9281","79.98K","+0.94%"
"06/08/22","0.933","0.9346","0.9371","0.9303","57.45K","-0.14%"
"06/07/22","0.9343","0.935","0.9388","0.9333","62.17K","-0.06%"
"06/06/22","0.9349","0.9327","0.936","0.93","61.18K","+0.24%"
"06/05/22","N/A","N/A","N/A","N/A",NA,NA
"06/04/22","N/A","N/A","N/A","N/A",NA,NA
"06/03/22","0.9327","0.9306","0.9342","0.929","36.97K","+0.27%"
"06/02/22","0.9302","0.9391","0.9395","0.9301","52.85K","-0.92%"
"06/01/22","0.9388","0.9316","0.941","0.9312","57.34K","+0.79%"
"05/31/22","0.9314","0.9277","0.9365","0.9276","72.22K","+0.41%"
"05/30/22","0.9276","0.9314","0.9323","0.927","54.77K","-0.46%"
"05/29/22","N/A","N/A","N/A","N/A",NA,NA
"05/28/22","N/A","N/A","N/A","N/A",NA,NA
"05/27/22","0.9319","0.9323","0.9349","0.9289","64.64K","-0.02%"
"05/26/22","0.9321","0.936","0.9379","0.9317","64.32K","-0.42%"
"05/25/22","0.936","0.9313","0.9397","0.9312","73.49K","+0.49%"
"05/24/22","0.9314","0.9354","0.938","0.9302","68.66K","-0.41%"
"05/23/22","0.9352","0.9459","0.9471","0.9347","72.25K","-1.20%"
"05/22/22","N/A","N/A","N/A","N/A",NA,NA
"05/21/22","N/A","N/A","N/A","N/A",NA,NA
"05/20/22","0.9466","0.9445","0.9495","0.9434","79.33K","+0.25%"
"05/19/22","0.9442","0.9551","0.956","0.9427","78.99K","-1.14%"
"05/18/22","0.9551","0.948","0.956","0.9466","79.53K","+0.77%"
"05/17/22","0.9478","0.9584","0.9589","0.9473","76.97K","-1.10%"
"05/16/22","0.9583","0.9611","0.9626","0.9575","63.92K","-0.20%"
"05/15/22","N/A","N/A","N/A","N/A",NA,NA
"05/14/22","N/A","N/A","N/A","N/A",NA,NA
"05/13/22","0.9602","0.9635","0.9663","0.9596","75.67K","-0.32%"
"05/12/22","0.9633","0.9513","0.9658","0.9497","103.61K","+1.29%"
"05/11/22","0.951","0.9498","0.9523","0.9454","107.91K","+0.15%"
"05/10/22","0.9496","0.9472","0.9501","0.9446","71.60K","+0.26%"
"05/09/22","0.9471","0.9477","0.9528","0.9439","66.96K","-0.03%"
"05/08/22","N/A","N/A","N/A","N/A",NA,NA
"05/07/22","N/A","N/A","N/A","N/A",NA,NA
"05/06/22","0.9474","0.9484","0.954","0.9434","84.53K","-0.11%"
"05/05/22","0.9484","0.9414","0.9531","0.9396","85.99K","+0.76%"
"05/04/22","0.9412","0.951","0.9518","0.9406","64.71K","-0.95%"
"05/03/22","0.9502","0.9519","0.9531","0.9453","68.53K","-0.17%"
"05/02/22","0.9518","0.9478","0.9533","0.9462","49.74K","+0.37%"
"05/01/22","N/A","N/A","N/A","N/A",NA,NA
"04/30/22","N/A","N/A","N/A","N/A",NA,NA
"04/29/22","0.9483","0.9528","0.9532","0.944","87.17K","-0.41%"
"04/28/22","0.9522","0.9473","0.955","0.9464","89.07K","+0.54%"
"04/27/22","0.9471","0.9401","0.9512","0.9385","89.56K","+0.77%"
"04/26/22","0.9399","0.9334","0.9402","0.9312","91.48K","+0.71%"
"04/25/22","0.9333","0.9224","0.9349","0.9223","98.74K","+0.76%"
"04/24/22","N/A","N/A","N/A","N/A",NA,NA
"04/23/22","N/A","N/A","N/A","N/A",NA,NA
"04/22/22","0.9263","0.9227","0.9285","0.9215","74.46K","+0.41%"
"04/21/22","0.9225","0.9215","0.9239","0.9143","85.70K","+0.14%"
"04/20/22","0.9212","0.9269","0.9273","0.9201","83.77K","-0.60%"
"04/19/22","0.9268","0.9274","0.9294","0.9247","77.56K","-0.05%"
"04/18/22","0.9273","0.9255","0.9286","0.924","34.70K","+0.24%"
"04/17/22","N/A","N/A","N/A","N/A",NA,NA
"04/16/22","N/A","N/A","N/A","N/A",NA,NA
"04/15/22","0.9251","0.9236","0.9262","0.9233","39.97K","+0.19%"
"04/14/22","0.9233","0.9185","0.9296","0.9154","86.70K","+0.53%"
"04/13/22","0.9184","0.9236","0.9252","0.9178","74.81K","-0.54%"
"04/12/22","0.9234","0.919","0.9241","0.9171","55.12K","+0.50%"
"04/11/22","0.9188","0.9145","0.9197","0.9131","61.06K","-0.03%"
"04/10/22","N/A","N/A","N/A","N/A",NA,NA
"04/09/22","N/A","N/A","N/A","N/A",NA,NA
"04/08/22","0.9191","0.9192","0.9229","0.918","56.37K","0.00%"
"04/07/22","0.9191","0.9179","0.9204","0.9141","63.15K","+0.16%"
"04/06/22","0.9176","0.9169","0.9196","0.9142","57.66K","+0.09%"
"04/05/22","0.9168","0.9114","0.9175","0.91","50.42K","+0.61%"
"04/04/22","0.9112","0.9059","0.9124","0.9045","70.49K","+0.75%"
"04/03/22","N/A","N/A","N/A","N/A",NA,NA
"04/02/22","N/A","N/A","N/A","N/A",NA,NA
"04/01/22","0.9044","0.9038","0.9068","0.9028","96.87K","+0.11%"
"03/31/22","0.9034","0.8963","0.9041","0.894","77.25K","+0.83%"
"03/30/22","0.896","0.902","0.9023","0.8952","82.33K","-0.64%"
"03/29/22","0.9018","0.9107","0.9116","0.8978","84.85K","-0.97%"
"03/28/22","0.9106","0.91","0.9137","0.909","58.63K","+0.03%"
"03/27/22","N/A","N/A","N/A","N/A",NA,NA
"03/26/22","N/A","N/A","N/A","N/A",NA,NA
"03/25/22","0.9103","0.9093","0.9108","0.9059","55.19K","+0.12%"
"03/24/22","0.9092","0.9087","0.912","0.9079","54.04K","+0.07%"
"03/23/22","0.9086","0.9067","0.9121","0.9054","62.58K","+0.23%"
"03/22/22","0.9065","0.9076","0.9124","0.9053","67.25K","-0.12%"
"03/21/22","0.9076","0.9042","0.9083","0.9033","64.45K","+0.30%"
"03/20/22","N/A","N/A","N/A","N/A",NA,NA
"03/19/22","N/A","N/A","N/A","N/A",NA,NA
"03/18/22","0.9049","0.9017","0.9089","0.8993","58.86K","+0.38%"
"03/17/22","0.9015","0.9061","0.9084","0.8978","76.72K","-0.53%"
"03/16/22","0.9063","0.9128","0.9133","0.9052","83.23K","-0.71%"
"03/15/22","0.9128","0.914","0.9153","0.9074","80.80K","-0.13%"
"03/14/22","0.914","0.9139","0.9174","0.9096","69.05K","-0.25%"
"03/13/22","N/A","N/A","N/A","N/A",NA,NA
"03/12/22","N/A","N/A","N/A","N/A",NA,NA
"03/11/22","0.9163","0.9104","0.9173","0.9054","87.09K","+0.67%"
"03/10/22","0.9102","0.9029","0.9111","0.8992","88.31K","+0.83%"
"03/09/22","0.9027","0.9172","0.9183","0.9013","100.09K","-1.58%"
"03/08/22","0.9172","0.9213","0.9218","0.9125","99.69K","-0.42%"
"03/07/22","0.9211","0.913","0.9255","0.913","100.00K","+0.66%"
"03/06/22","N/A","N/A","N/A","N/A",NA,NA
"03/05/22","N/A","N/A","N/A","N/A",NA,NA
"03/04/22","0.9151","0.9036","0.9186","0.9035","82.96K","+1.28%"
"03/03/22","0.9035","0.8995","0.9064","0.8989","78.70K","+0.50%"
"03/02/22","0.899","0.8987","0.9044","0.8971","79.29K","+0.04%"
"03/01/22","0.8986","0.8914","0.9018","0.8902","89.11K","+0.85%"
"02/28/22","0.891","0.8946","0.8991","0.8891","86.10K","+0.43%"
"02/27/22","N/A","N/A","N/A","N/A",NA,NA
"02/26/22","N/A","N/A","N/A","N/A",NA,NA
"02/25/22","0.8872","0.8935","0.8956","0.8869","79.32K","-0.68%"
"02/24/22","0.8933","0.8839","0.9004","0.8839","103.42K","+1.06%"
"02/23/22","0.8839","0.8829","0.8849","0.8803","64.39K","+0.12%"
"02/22/22","0.8828","0.884","0.886","0.8797","85.66K","-0.14%"
"02/21/22","0.884","0.8838","0.8845","0.8779","51.07K","+0.11%"
"02/20/22","N/A","N/A","N/A","N/A",NA,NA
"02/19/22","N/A","N/A","N/A","N/A",NA,NA
"02/18/22","0.883","0.8802","0.8838","0.8789","64.20K","+0.33%"
"02/17/22","0.8801","0.8791","0.8832","0.8782","80.16K","+0.11%"
"02/16/22","0.8791","0.8802","0.8815","0.8774","70.76K","-0.14%"
"02/15/22","0.8803","0.8845","0.8849","0.8796","74.42K","-0.45%"
"02/14/22","0.8843","0.8815","0.8866","0.8795","81.23K","+0.40%"
"02/13/22","N/A","N/A","N/A","N/A",NA,NA
"02/12/22","N/A","N/A","N/A","N/A",NA,NA
"02/11/22","0.8808","0.8751","0.8827","0.8748","82.40K","+0.66%"
"02/10/22","0.875","0.8749","0.8791","0.8698","84.63K","-0.02%"
"02/09/22","0.8752","0.8759","0.877","0.8735","67.49K","-0.09%"
"02/08/22","0.876","0.8739","0.8776","0.8734","100.06K","+0.24%"
"02/07/22","0.8739","0.8719","0.8761","0.8719","75.92K","+0.06%"
"02/06/22","N/A","N/A","N/A","N/A",NA,NA
"02/05/22","N/A","N/A","N/A","N/A",NA,NA
"02/04/22","0.8734","0.8742","0.8763","0.8708","85.84K","-0.07%"
"02/03/22","0.874","0.8845","0.8875","0.8732","68.02K","-1.19%"
"02/02/22","0.8845","0.8874","0.8876","0.8826","48.06K","-0.29%"
"02/01/22","0.8871","0.8902","0.8912","0.8866","53.47K","-0.31%"
"01/31/22","0.8899","0.8971","0.8978","0.889","55.97K","-0.80%"
"01/30/22","N/A","N/A","N/A","N/A",NA,NA
"01/29/22","N/A","N/A","N/A","N/A",NA,NA
"01/28/22","0.8971","0.8971","0.8992","0.8949","62.02K","0.00%"
"01/27/22","0.8971","0.8896","0.8984","0.8893","68.31K","+0.84%"
"01/26/22","0.8896","0.8849","0.8901","0.8841","62.70K","+0.55%"
"01/25/22","0.8847","0.8831","0.8879","0.8826","72.71K","+0.22%"
"01/24/22","0.8828","0.8816","0.8857","0.8813","93.65K","+0.15%"
"01/23/22","N/A","N/A","N/A","N/A",NA,NA
"01/22/22","N/A","N/A","N/A","N/A",NA,NA
"01/21/22","0.8815","0.884","0.8849","0.8802","70.09K","-0.27%"
"01/20/22","0.8839","0.8817","0.8848","0.8795","74.10K","+0.27%"
"01/19/22","0.8815","0.8834","0.8835","0.8805","87.94K","-0.14%"
"01/18/22","0.8827","0.8766","0.8838","0.8755","102.17K","+0.73%"
"01/17/22","0.8763","0.8762","0.8778","0.8745","60.66K","+0.06%"
"01/16/22","N/A","N/A","N/A","N/A",NA,NA
"01/15/22","N/A","N/A","N/A","N/A",NA,NA
"01/14/22","0.8758","0.8729","0.8773","0.8708","63.78K","+0.34%"
"01/13/22","0.8728","0.8738","0.8745","0.8709","59.44K","-0.10%"
"01/12/22","0.8737","0.8798","0.8808","0.8731","60.52K","-0.68%"
"01/11/22","0.8797","0.883","0.884","0.8791","58.48K","-0.35%"
"01/10/22","0.8828","0.8809","0.8862","0.8802","55.31K","+0.32%"
"01/09/22","N/A","N/A","N/A","N/A",NA,NA
"01/08/22","N/A","N/A","N/A","N/A",NA,NA
"01/07/22","0.88","0.8855","0.8858","0.8798","44.10K","-0.60%"
"01/06/22","0.8853","0.8838","0.8862","0.8824","66.51K","+0.19%"
"01/05/22","0.8836","0.886","0.8868","0.8813","45.06K","-0.25%"
"01/04/22","0.8858","0.8852","0.8872","0.8831","47.58K","+0.08%"
"01/03/22","0.8851","0.8798","0.8866","0.8787","33.87K","+0.65%"
"01/02/22","N/A","N/A","N/A","N/A",NA,NA
"01/01/22","N/A","N/A","N/A","N/A",NA,NA
