"country","year","energy_use"
"Argentina",2006,1844.2651618793
"Argentina",2005,1712.85349015617
"Argentina",2004,1720.3112556181
"Argentina",2003,1590.84132143851
"Argentina",2002,1502.20934243469
"Argentina",2001,1562.31178709416
"Argentina",2000,1660.52009057054
"Argentina",1999,1659.76805574415
"Argentina",1998,1650.72610902792
"Argentina",1997,1614.73000410906
"Argentina",1996,1583.49370638555
"Argentina",1995,1546.50812350788
"Argentina",1994,1544.76057894447
"Argentina",1993,1471.83130339105
"Argentina",1992,1487.61907258592
"Argentina",1991,1434.3241990828
"Argentina",1990,1411.35746968601
"Armenia",2012,1019.27381116181
"Armenia",2011,927.139041084666
"Armenia",2010,842.822149731883
"Armenia",2009,880.468752108426
"Armenia",2008,1006.92091394409
"Armenia",2007,949.558196946937
"Armenia",2006,845.399582221758
"Armenia",2005,824.451980575247
"Armenia",2004,683.277637246412
"Armenia",2003,642.396717099499
"Armenia",2002,604.301333607297
"Armenia",2001,640.172313144702
"Armenia",2000,635.816751211842
"Armenia",1999,571.879240057018
"Armenia",1998,585.174430266467
"Armenia",1997,569.122319434569
"Armenia",1996,539.892412557163
"Armenia",1995,494.952422397858
"Armenia",1994,408.616263446239
"Armenia",1993,634.166235459596
"Armenia",1992,1155.55558663946
"Armenia",1991,2245.9136932429
"Armenia",1990,2167.29241546346
"Australia",2012,5575.28709327857
"Australia",2011,5745.23218954465
"Australia",2010,5793.11602573559
"Australia",2009,5862.5646464103
"Australia",2008,5964.66605635347
"Australia",2007,5868.34089844726
"Australia",2006,5778.28181808136
"Australia",2005,5624.19201932671
"Australia",2004,5652.7633305677
"Australia",2003,5618.08648429316
"Australia",2002,5614.26334981772
"Australia",2001,5486.05610016985
"Australia",2000,5680.90287554624
"Australia",1999,5644.26397588297
"Australia",1998,5584.51919389427
"Australia",1997,5497.49658538926
"Australia",1996,5419.10110565474
"Australia",1995,5148.3442101981
"Australia",1994,5103.9479557628
"Australia",1993,5156.93337857719
"Australia",1992,4963.85816169283
"Australia",1991,4927.77132609536
"Australia",1990,5061.50015399826
"Austria",2012,3886.76773201774
"Austria",2011,3921.90051459529
"Austria",2010,4051.19602018508
"Austria",2009,3798.15116830548
"Austria",2008,4032.14842619644
"Austria",2007,4019.59016993216
"Austria",2006,4078.81222561241
"Austria",2005,4085.56765095628
"Austria",2004,4007.56990423112
"Austria",2003,3973.6243266728
"Austria",2002,3773.65172816435
"Austria",2001,3758.45756925295
"Austria",2000,3570.49882632185
"Austria",1999,3591.8094661828
"Austria",1998,3606.61037918892
"Austria",1997,3550.40417086207
"Austria",1996,3580.42079819656
"Austria",1995,3373.60356545154
"Austria",1994,3234.49298510934
"Austria",1993,3255.78470440001
"Austria",1992,3245.59207592069
"Austria",1991,3415.17308238117
"Austria",1990,3240.1113592998
"Azerbaijan",2012,1472.89739090323
"Azerbaijan",2011,1369.35099893362
"Azerbaijan",2010,1279.552594272
"Azerbaijan",2009,1334.16617834119
"Azerbaijan",2008,1520.31391925508
"Azerbaijan",2007,1411.557339797
"Azerbaijan",2006,1559.56874554337
"Azerbaijan",2005,1599.9606761322
"Azerbaijan",2004,1539.23012098959
"Azerbaijan",2003,1476.59088424964
"Azerbaijan",2002,1414.52811140548
"Azerbaijan",2001,1410.96545517309
"Azerbaijan",2000,1403.43326789752
"Azerbaijan",1999,1369.11189752905
"Azerbaijan",1998,1485.15341842538
"Azerbaijan",1997,1444.31945906293
"Azerbaijan",1996,1513.67319335309
"Azerbaijan",1995,1809.18963935535
"Azerbaijan",1994,1947.80735991996
"Azerbaijan",1993,2175.3425041362
"Azerbaijan",1992,2464.58070590148
"Azerbaijan",1991,3087.74730790918
"Azerbaijan",1990,3158.34792061545
"Bahrain",2012,10251.0696451007
"Bahrain",2011,10453.083426218
"Bahrain",2010,10436.7710491948
"Bahrain",2009,10388.4826271161
"Bahrain",2008,11362.0691984369
"Bahrain",2007,11184.1144722123
"Bahrain",2006,11454.0603781124
"Bahrain",2005,11510.3185312239
"Bahrain",2004,10847.8638816199
