rating,length,year,comedy,action,drama,documentary,romance,horror,thriller
43,88,2017,0,0,0,0,0,0,1
44,73,2012,0,0,0,1,0,0,0
57,118,2019,0,0,0,1,0,0,0
38,88,2017,0,0,0,0,0,1,1
63,91,2012,1,0,1,0,0,0,0
70,113,2019,0,1,1,0,0,0,1
52,92,2013,0,0,0,1,0,0,0
39,112,2017,0,0,0,0,0,0,0
86,114,2021,0,0,1,0,0,0,0
46,99,2019,0,0,0,0,0,1,0
51,94,2016,0,0,1,0,0,0,0
65,153,2016,0,1,1,0,0,0,0
54,90,2020,0,0,0,1,0,0,0
43,97,2013,0,1,1,0,0,0,0
53,110,2015,1,0,1,0,1,0,0
64,93,2019,0,0,1,0,0,0,0
56,89,2019,1,0,0,0,0,0,0
56,131,2018,1,0,1,0,0,0,0
58,102,2018,1,0,0,0,0,0,0
51,93,2001,1,0,1,0,0,0,0
61,76,2013,1,0,0,1,1,0,0
47,86,2012,0,0,0,0,0,0,1
42,93,2019,1,0,0,0,0,1,0
59,137,2018,0,0,1,0,1,0,0
39,96,2014,0,0,1,0,0,0,1
56,91,2021,0,0,0,0,1,0,0
39,135,2015,1,0,1,0,0,0,0
43,105,2014,1,0,0,0,1,0,0
59,95,2014,0,0,1,0,0,0,1
32,92,2017,1,0,1,0,0,0,0
61,98,2018,1,0,0,0,0,0,0
72,96,2015,1,1,0,0,0,0,0
39,69,2020,0,1,0,0,0,0,0
53,105,2016,0,0,1,0,0,0,0
46,92,2020,0,0,0,0,1,0,0
49,87,2018,0,0,0,1,0,0,0
58,108,2021,0,0,0,1,0,0,0
50,105,2016,0,0,0,0,0,1,1
32,121,2013,1,0,0,0,0,0,0
53,104,2017,0,0,1,0,0,0,1
39,140,2012,1,0,0,0,0,0,0
62,103,2016,0,0,0,0,0,0,1
45,91,2020,1,0,0,0,1,0,0
63,104,2016,0,1,0,0,0,0,0
59,94,2010,0,1,0,0,0,0,0
45,100,2014,1,0,1,0,1,0,0
43,92,2010,0,0,1,0,0,0,1
66,103,2011,1,0,1,0,0,0,0
41,80,2015,0,0,0,0,0,0,0
