Doesburg;355,0;477,1
Borger-Odoorn;354,5;250,7
Goeree-Overflakkee;354,4;337,5
Groningen (gemeente);353,9;327,0
Stede Broec;353,7;325,1
Urk;353,7;333,7
Hardenberg;353,5;280,0
Losser;353,1;495,1
Maasgouw;352,1;297,0
Steenbergen;351,7;252,3
Woensdrecht;350,1;418,1
Zwartewaterland;349,9;377,3
Westerkwartier;349,6;488,7
Twenterand;348,1;264,9
Westervoort;346,6;323,1
Westerwolde;344,3;342,6
Kampen;344,3;372,4
Dordrecht;344,2;309,7
Zwijndrecht;344,1;411,6
Roosendaal;343,8;295,3
Oost Gelre;342,9;372,9
Súdwest-Fryslân;342,4;413,9
Coevorden;342,3;435,2
Zevenaar;341,4;296,2
Venlo;341,1;469,9
Nissewaard;340,7;562,9
Tytsjerksteradiel;339,9;284,2
Beekdaelen;338,9;371,1
Winterswijk;338,0;403,7
Sliedrecht;337,1;231,4
Middelburg (Z.);336,7;367,6
Staphorst;335,1;373,0
Noordoostpolder;335,0;435,7
Noord-Beveland;332,8;406,0
Enschede;331,5;304,0
Ridderkerk;330,7;303,8
Assen;330,0;385,8
Borsele;328,8;301,9
Beek (L.);328,7;431,3
Hengelo (O.);324,4;247,8
Sluis;324,2;319,7
Vlaardingen;323,8;512,5
Bergen op Zoom;321,7;410,9
Aalten;319,6;555,8
Roerdalen;319,5;247,7
Schiedam;317,4;563,1
Reimerswaal;316,6;364,0
Oude IJsselstreek;316,5;358,5
Stein (L.);314,9;403,3
Echt-Susteren;314,6;910,8
Harlingen;311,7;498,2
Hoogeveen;311,5;330,6
Midden-Groningen;310,6;434,8
Vaals;309,9;426,5
Hulst;305,9;401,2
Achtkarspelen;305,5;303,5
Smallingerland;304,5;386,7
Beesel;299,1;320,0
Simpelveld;296,4;288,2
Emmen;295,5;418,8
Almelo;293,5;318,9
Sittard-Geleen;292,8;596,0
Waadhoeke;289,9;376,4
Stadskanaal;289,2;382,3
Leeuwarden;287,7;608,9
Het Hogeland;286,6;422,9
Landgraaf;282,1;291,2
Oldambt;280,2;333,0
Tholen;279,3;419,8
Noardeast-Fryslân;276,7;390,8
Veendam;272,9;411,7
Vlissingen;271,9;434,0
Den Helder;270,7;355,7
Terneuzen;264,8;403,4
Heerlen;251,3;529,7
Eemsdelta;247,7;324,0
Brunssum;239,3;571,9
Kerkrade;237,8;305,0
Pekela;230,8;351,5
