price,age,odometer,state_ca,state_fl,state_ny,state_tx
16990,3,35973,1,0,0,0
14590,5,65574,1,0,0,0
19999,2,28045,1,0,0,0
18495,2,23532,1,0,0,0
17990,3,19632,1,0,0,0
23590,1,10761,1,0,0,0
11998,8,98305,1,0,0,0
11987,7,102705,1,0,0,0
12900,2,30000,1,0,0,0
5200,14,100774,1,0,0,0
13591,4,104418,1,0,0,0
9900,11,116498,1,0,0,0
21981,1,4495,1,0,0,0
8750,10,66000,1,0,0,0
13710,5,79896,1,0,0,0
24999,1,18705,1,0,0,0
19506,1,22256,1,0,0,0
11795,7,117869,1,0,0,0
8899,11,85304,1,0,0,0
15050,3,37772,1,0,0,0
16990,5,40570,1,0,0,0
12995,5,96097,1,0,0,0
18590,4,21032,1,0,0,0
16990,6,47799,1,0,0,0
5500,11,139000,1,0,0,0
12981,3,141696,1,0,0,0
11888,5,94547,1,0,0,0
5800,15,117970,1,0,0,0
15990,6,61740,1,0,0,0
22981,1,26907,1,0,0,0
9450,9,96975,1,0,0,0
9450,9,96975,1,0,0,0
4200,14,97000,1,0,0,0
17333,2,45498,1,0,0,0
12538,8,64238,1,0,0,0
12349,4,73303,1,0,0,0
12981,3,141696,1,0,0,0
10999,4,129547,1,0,0,0
9850,7,147000,1,0,0,0
5200,16,113000,1,0,0,0
17995,1,23415,1,0,0,0
22981,1,26907,1,0,0,0
17981,4,27178,1,0,0,0
9938,13,53454,1,0,0,0
11438,6,125515,1,0,0,0
18590,4,14317,1,0,0,0
18890,4,34971,1,0,0,0
14990,7,66499,1,0,0,0
17999,3,41900,1,0,0,0
21981,1,4495,1,0,0,0
12995,5,87000,1,0,0,0
10595,8,83000,1,0,0,0
18981,2,15093,1,0,0,0
17995,1,23415,1,0,0,0
18900,4,32000,1,0,0,0
22981,0,10032,1,0,0,0
10981,8,126263,1,0,0,0
9850,7,147000,1,0,0,0
6000,11,141000,1,0,0,0
22981,1,17199,1,0,0,0
11999,7,121332,1,0,0,0
19691,2,19468,1,0,0,0
9995,6,124392,1,0,0,0
21981,1,4495,1,0,0,0
14518,3,66727,1,0,0,0
12399,4,73303,1,0,0,0
6000,11,121000,1,0,0,0
